0,81
1,81
2,80
3,79
4,78
5,77
6,76
7,75
8,74
9,73
10,72
11,71
12,70
13,69
14,68
15,67
16,66
17,65
18,64
19,63
20,62
21,61
22,60
23,59
24,58
25,57
26,56
27,55
28,54
29,53
30,52
31,51
32,50
33,49
34,48
35,47
36,47
37,46
38,45
39,44
40,43
41,42
42,41
43,40
44,39
45,38
46,37
47,36
48,35
49,34
50,34
51,33
52,32
53,31
54,30
55,29
56,28
57,27
58,26
59,26
60,25
61,24
62,23
63,22
64,22
65,21
66,20
67,19
68,18
69,18
70,17
71,16
72,15
73,15
74,14
75,13
76,12
77,12
78,11
79,10
80,10
81,9
82,9
83,8
84,8
85,7
86,7
87,6
88,6
89,5
90,5
91,5
92,4
93,4
94,4
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
